Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
6/11/2014,16.18776091,16.25635338,16.18776091,16.25635338,20978114,0,0,0
6/12/2014,16.18776091,16.29064896,16.15346402,16.25635338,13790167,0,0,0
6/13/2014,16.18775908,16.42783204,16.1534622,16.35923958,26306128,0,0,0
6/16/2014,16.32494269,16.39353515,16.25635154,16.35923958,26795981,0,0,0
6/17/2014,16.29064751,16.32494308,16.18775947,16.29064751,12132723,0,0,0
6/18/2014,16.18775947,16.35923997,16.18775947,16.29064751,8954169,0,0,0
6/19/2014,16.29064751,16.39353555,16.22205505,16.29064751,20045956,0,0,0
6/20/2014,16.25635049,16.39353409,16.25635049,16.32494164,16450722,0,0,0
6/23/2014,16.29064776,16.46212827,15.98198234,16.01627922,42464509,0,0,0
6/24/2014,16.11917069,16.11917069,16.01628263,16.08487511,14504577,0,0,0
6/25/2014,16.01628263,16.11917069,16.01628263,16.08487511,21967145,0,0,0
6/26/2014,16.08487,16.35923852,16.08487,16.32494164,23980440,0,0,0
6/27/2014,16.32494308,16.35923997,16.25635193,16.29064751,10104651,0,0,0
6/30/2014,16.32494308,16.42783243,16.11916701,16.29064751,17238990,0,0,0
7/2/2014,16.39354055,16.63361359,16.39354055,16.63361359,47904878,0,0,0
7/3/2014,16.59931755,16.66790872,16.56502066,16.59931755,20069241,0,0,0
7/4/2014,16.599318,16.70220607,16.599318,16.63361359,20643860,0,0,0
7/7/2014,16.599318,16.66790917,16.53072552,16.63361359,11942053,0,0,0
7/8/2014,16.63361314,16.63361314,16.56502066,16.59931755,20323123,0,0,0
7/9/2014,16.46212761,16.53072007,16.32494269,16.35923958,15145565,0,0,0
7/10/2014,16.42783441,16.42783441,16.35924194,16.39353752,14003804,0,0,0
7/11/2014,16.39353667,16.49642472,16.3249442,16.42783356,20617497,0,0,0
7/14/2014,16.39353484,16.59931222,16.39353484,16.53071976,32895713,0,0,0
7/15/2014,16.5650177,16.59931459,16.53072212,16.5650177,19726410,0,0,0
7/16/2014,16.5650211,16.66790917,16.53072552,16.63361359,14798365,0,0,0
7/17/2014,16.63361359,16.66790917,16.53072552,16.63361359,36038600,0,0,0
7/18/2014,16.42783407,16.59931459,16.42783407,16.5650177,30980293,0,0,0
7/21/2014,16.59931307,16.59931307,16.49642372,16.49642372,16684254,0,0,0
7/22/2014,16.49642683,16.83938789,16.49642683,16.83938789,68640931,0,0,0
7/23/2014,16.80509106,16.942276,16.80509106,16.942276,33241068,0,0,0
7/24/2014,16.94227501,17.07945863,16.94227501,17.01086617,58105171,0,0,0
7/25/2014,16.97657124,17.11375618,16.97657124,17.11375618,41488238,0,0,0
7/28/2014,17.07946313,17.31953617,17.07946313,17.2166481,69768108,0,0,0
7/29/2014,17.28523831,17.45671885,17.21664584,17.38812637,58986968,0,0,0
7/30/2014,17.38812453,17.59390062,17.38812453,17.49101257,55326996,0,0,0
7/31/2014,17.49101684,17.55960932,17.42242435,17.52531242,53922555,0,0,0
8/1/2014,17.28523681,17.49101291,17.28523681,17.31953239,74081898,0,0,0
8/4/2014,17.35382948,17.42242196,17.3195339,17.38812637,56753776,0,0,0
8/5/2014,17.38812341,17.42241899,17.28523537,17.35382652,89322282,0,0,0
8/6/2014,17.35382652,17.38812341,17.2166429,17.35382652,72538288,0,0,0
8/7/2014,17.25093842,17.31953088,17.18234595,17.25093842,101128186,0,0,0
8/8/2014,17.18234825,17.3195332,17.04516461,17.18234825,89253570,0,0,0
8/11/2014,17.28523309,17.42241669,17.28523309,17.42241669,71223661,0,0,0
8/12/2014,17.42241669,17.45671357,17.31952866,17.42241669,127516683,0,0,0
8/13/2014,17.38812458,17.59390068,17.3538277,17.59390068,63924709,0,0,0
8/14/2014,17.49101684,17.6282018,17.45672125,17.52531242,55331273,0,0,0
8/15/2014,17.59389983,17.66249229,17.55960425,17.62819672,67988795,0,0,0
8/18/2014,17.55960425,17.62819672,17.49101179,17.62819672,65244745,0,0,0
8/19/2014,17.62820247,17.79968303,17.55960998,17.73109055,70472882,0,0,0
8/20/2014,17.76538277,17.83397524,17.69679029,17.76538277,55785860,0,0,0
8/21/2014,17.79968198,17.79968198,17.59390453,17.6967926,28418510,0,0,0
8/22/2014,17.69679365,17.79968303,17.69679365,17.73109055,58936491,0,0,0
8/25/2014,17.76538191,17.86826997,17.66249386,17.7996788,59012246,0,0,0
8/26/2014,17.79967966,17.83397524,17.73108718,17.76538277,32738842,0,0,0
8/27/2014,17.76538034,17.8339728,17.55960425,17.62819672,61177384,0,0,0
8/28/2014,17.66249739,17.73108988,17.42242435,17.52531242,66074864,0,0,0
8/29/2014,17.45672125,17.55960932,17.42242435,17.52531242,38279392,0,0,0
9/1/2014,17.45671699,17.62819751,17.45671699,17.49101257,34898528,0,0,0
9/2/2014,17.49101684,17.55960932,17.38812876,17.52531242,77004020,0,0,0
9/3/2014,17.52531314,17.93686676,17.49101755,17.93686676,32623605,0,0,0
9/4/2014,17.93686822,17.97116512,17.83398014,17.90257263,58977103,0,0,0
9/5/2014,17.90256777,17.90256777,17.79967971,17.86827087,34270582,0,0,0
9/8/2014,17.86826851,17.86826851,17.73108489,17.83397293,23745576,0,0,0
9/10/2014,17.73108988,17.73108988,17.45672125,17.52531242,63709067,0,0,0
9/11/2014,17.55960932,17.55960932,17.42242435,17.52531242,78097173,0,0,0
9/12/2014,17.49101403,17.52530961,17.35382908,17.45671844,39153372,0,0,0
9/15/2014,17.42242044,17.42242044,17.25093993,17.31953239,18230100,0,0,0
9/16/2014,17.28523761,17.35382878,17.14805267,17.18234825,35700804,0,0,0
9/17/2014,17.2166429,17.38812341,17.2166429,17.35382652,51339539,0,0,0
9/18/2014,17.35382878,17.35382878,17.11375709,17.18234825,77022190,0,0,0
9/19/2014,17.21664389,17.35382752,17.11375584,17.28523636,72622034,0,0,0
9/22/2014,17.21664356,17.21664356,17.01086617,17.01086617,53126968,0,0,0
9/23/2014,17.01086762,17.07946009,16.94227645,16.97657204,63872893,0,0,0
9/24/2014,16.90797812,17.04516305,16.90797812,17.01086617,33698801,0,0,0
9/25/2014,17.07946049,17.07946049,16.87368438,16.90797997,143125835,0,0,0
9/26/2014,16.80509231,16.87368479,16.73649984,16.83938789,44113274,0,0,0
9/29/2014,16.63360779,16.63360779,16.39353484,16.53071976,120510740,0,0,0
9/30/2014,16.46212655,16.46212655,16.25635049,16.32494164,107912810,0,0,0
10/3/2014,16.05057565,16.49642472,16.05057565,16.42783356,114098989,0,0,0
10/6/2014,16.49642818,16.66790872,16.32494763,16.59931755,99741901,0,0,0
10/7/2014,16.56501776,16.73649828,16.49642529,16.66790581,90833210,0,0,0
10/8/2014,16.53072212,16.63361017,16.46212965,16.5650177,75834648,0,0,0
10/9/2014,16.66790541,16.77079477,16.63360983,16.73649788,32414118,0,0,0
10/10/2014,16.5307216,16.5307216,16.39353667,16.42783356,47916743,0,0,0
10/13/2014,16.32494322,16.56501618,16.25635207,16.49642372,55116158,0,0,0
10/14/2014,16.46212914,16.66790523,16.39353667,16.42783356,33897107,0,0,0
10/15/2014,16.46212814,16.56501618,16.35924011,16.49642372,43837655,0,0,0
10/16/2014,16.39353555,16.42783243,16.25635193,16.29064751,52513059,0,0,0
10/17/2014,16.3249442,16.49642472,16.29064862,16.42783356,53146861,0,0,0
10/20/2014,16.5307216,16.59931407,16.39353667,16.42783356,14317365,0,0,0
10/21/2014,16.46212959,16.56501764,16.32494466,16.46212959,45978165,0,0,0
10/22/2014,16.53072218,16.73649828,16.49642529,16.66790581,31882347,0,0,0
10/23/2014,16.63361359,16.70220607,16.5650211,16.63361359,30158338,0,0,0
10/24/2014,16.63361314,16.66790872,16.49642818,16.59931755,35087136,0,0,0
10/27/2014,16.53072061,16.56501618,16.35924011,16.49642372,36142289,0,0,0
10/28/2014,16.46212661,16.80508758,16.46212661,16.77079201,55617133,0,0,0
10/29/2014,16.87368398,17.01086762,16.87368398,16.97657204,24599199,0,0,0
10/30/2014,17.00479716,17.00479716,16.79311839,16.86367798,27804533,0.69,0,0
10/31/2014,16.93423825,17.14591569,16.93423825,17.07535744,42964591,0,0,0
11/3/2014,17.11063378,17.1459129,16.96951461,17.00479507,40012453,0,0,0
11/4/2014,17.00479507,17.11063378,16.93423549,17.00479507,22868838,0,0,0
11/5/2014,17.004795,17.004795,16.82839672,16.8989563,23193567,0,0,0
11/6/2014,16.93423757,16.96951669,16.82839886,16.86367798,17588511,0,0,0
11/7/2014,16.93423173,17.0047913,16.6519948,16.75783348,36250620,0,0,0
11/10/2014,17.14591394,17.21647353,16.89895741,16.93423653,27053447,0,0,0
11/11/2014,16.96951565,17.0753557,16.89895741,16.93423653,32782504,0,0,0
11/12/2014,16.96951381,17.11063298,16.9342347,17.04007339,36864939,0,0,0
11/13/2014,17.04007617,17.18119535,16.96951657,17.11063576,44055869,0,0,0
11/14/2014,17.11063305,17.18119263,17.04007347,17.14591217,24047195,0,0,0
11/17/2014,17.28703312,17.32231224,16.93423653,16.93423653,41679633,0,0,0
11/18/2014,16.93423173,17.0047913,16.68727391,16.75783348,33225561,0,0,0
11/19/2014,16.75783722,16.79311634,16.61671806,16.65199852,21464263,0,0,0
11/20/2014,16.65200148,16.72256107,16.54616275,16.58144188,38529400,0,0,0
11/21/2014,16.58143791,16.75783618,16.58143791,16.72255707,33424193,0,0,0
11/24/2014,16.96951381,17.11063298,16.96951381,17.04007339,24925196,0,0,0
11/25/2014,17.00479507,17.07535466,16.96951461,17.00479507,25316102,0,0,0
11/26/2014,16.96951287,17.25175118,16.96951287,17.21647072,39509533,0,0,0
11/27/2014,17.21647447,17.28703406,17.07535663,17.11063576,20041930,0,0,0
11/28/2014,17.11063656,17.18119616,17.00479784,17.07535744,25540780,0,0,0
12/1/2014,16.93423769,16.93423769,16.58144108,16.6167202,97044919,0,0,0
12/2/2014,16.61671899,16.96951558,16.58143987,16.82839775,90953099,0,0,0
12/3/2014,16.8636809,17.07535971,16.61672296,16.68728256,120491043,0,0,0
12/4/2014,16.72255809,17.00479507,16.68727762,17.00479507,71261239,0,0,0
12/5/2014,16.93423825,17.25175575,16.89895912,17.07535744,109669551,0,0,0
12/8/2014,17.07535663,17.25175494,17.07535663,17.11063576,31375554,0,0,0
12/9/2014,17.00479404,17.04007316,16.65199749,16.72255707,35710894,0,0,0
12/10/2014,16.68727391,16.86367216,16.61671434,16.75783348,31199255,0,0,0
12/11/2014,16.58143894,16.68727764,16.47560023,16.65199852,38956227,0,0,0
12/12/2014,16.616721,16.6872806,16.54616275,16.58144188,21167698,0,0,0
12/15/2014,16.44031715,16.47559761,16.2639189,16.44031715,30074375,0,0,0
12/16/2014,16.29920213,16.33448125,16.12280384,16.15808296,53230130,0,0,0
12/17/2014,16.15808185,16.19336231,16.05224315,16.12280273,45613460,0,0,0
12/18/2014,16.29919647,16.33447558,16.15807735,16.26391602,36323676,0,0,0
12/19/2014,16.58143719,16.58143719,16.44031803,16.51087761,34285264,0,0,0
12/22/2014,16.54615879,16.75783618,16.54615879,16.72255707,97650921,0,0,0
12/23/2014,16.7225581,16.75783722,16.58143894,16.65199852,41296524,0,0,0
12/24/2014,16.65200343,16.72256304,16.61672296,16.68728256,24584547,0,0,0
12/29/2014,16.89895741,17.04007524,16.89895741,16.93423653,58642260,0,0,0
12/30/2014,16.93424051,17.00480011,16.68728256,16.68728256,30980765,0,0,0
12/31/2014,16.72256014,16.86367798,16.68727967,16.86367798,11708282,0,0,0
1/2/2015,16.86367425,17.0047934,16.82839513,16.96951294,21618598,0,0,0
1/5/2015,16.8989563,17.1106337,16.82839672,16.8989563,71563266,0,0,0
1/6/2015,16.72256304,16.82840177,16.58144383,16.68728256,78830872,0,0,0
1/7/2015,16.65200055,16.93423757,16.61672008,16.86367798,63966468,0,0,0
