L1,L2,L3,MF1,MF5,DIR
0.1327,0.7835,0.4466,0.8187,0.0087,U
0.589,0.2134,0.4949,0.5807,0.9904,U
-0.2335,-0.1217,-0.5984,-0.6127,-0.5533,D
0.2197,0.0467,0.0573,0.5614,0.1401,U
-0.1093,-0.2624,-0.14,-0.3798,-0.7225,D
-0.4695,-0.5823,-0.263,-0.1191,0.7617,U
0.3212,0.3408,0.0409,0.2565,0.7941,U
-0.5134,-0.4821,-0.4953,-0.8781,-0.3528,U
0.5134,0.3418,0.9222,-0.2758,-0.2943,D
0.5359,0.4676,0.3308,0.7881,0.1179,U
-0.8458,0.1991,0.4673,0.2448,0.8818,U
-0.5117,-0.9578,-0.4267,-0.5582,-0.6449,D
0.9385,0.4933,0.8466,0.8443,0.8163,D
-0.2474,-0.0756,-0.2856,-0.279,-0.8556,U
0.1211,0.7292,0.3293,0.4622,0.688,U
0.5375,0.898,0.8777,0.47,0.9266,U
0.2928,0.5421,0.5613,0.7741,0.6855,U
0.8497,-0.2891,-0.9051,-0.2402,-0.2742,D
-0.4486,-0.3383,-0.3166,-0.0003,-0.41,D
0.4631,0.2265,0.1857,0.7501,0.6512,D
0.3913,-0.1704,-0.2198,-0.6923,-0.8925,D
0.9726,0.9714,0.543,0.0283,0.1906,D
-0.4455,-0.7296,-0.7914,-0.4746,-0.0024,D
0.41,0.2297,0.984,0.6545,0.0228,U
-0.4451,-0.7233,-0.6934,-0.0194,-0.2423,U
-0.781,0.1457,0.0476,0.7899,0.8908,U
0.5468,0.0814,0.7975,0.6297,0.7313,U
0.6231,0.4275,0.3072,0.6014,0.9122,D
-0.9171,-0.5657,-0.4639,-0.7086,-0.4169,D
0.1417,0.5531,0.3521,0.1498,0.8943,D
-0.3553,-0.247,-0.5528,-0.3979,-0.644,D
-0.463,-0.3396,-0.8539,-0.6505,-0.9389,U
0.5058,0.5174,0.4449,0.5898,0.5558,U
0.3168,0.7779,0.0358,0.5147,0.3095,U
0.1736,0.674,0.8303,0.8527,0.8749,U
-0.6579,-0.1777,-0.4007,-0.744,-0.4103,D
0.9536,0.1542,0.0763,0.7342,0.317,U
0.2661,0.5075,0.6578,0.6648,0.5185,U
0.1683,0.9129,0.3609,0.7643,0.3273,U
-0.9811,-0.9575,0.9502,0.3173,0.3306,U
-0.0573,-0.6718,-0.0821,-0.2797,-0.2307,D
0.3397,0.2122,0.2719,0.6589,0.5444,U
-0.6268,-0.1428,-0.6837,-0.5718,-0.4767,U
-0.6188,-0.4654,-0.2788,-0.6942,-0.1684,D
-0.5325,-0.3863,-0.4476,-0.3373,-0.2749,D
-0.3534,0.0788,0.5526,0.6572,0.814,U
0.027,0.8571,0.3824,0.4442,0.7475,D
-0.1741,-0.1831,-0.2542,-0.7815,-0.2303,D
-0.9909,0.5918,0.016,0.3255,0.9879,U
-0.0227,-0.649,-0.3147,-0.475,-0.0737,U
0.4091,0.1,0.9299,-0.6061,-0.9193,D
0.4932,-0.8689,-0.5767,-0.9373,-0.6436,D
-0.1278,-0.8408,-0.1811,-0.7853,-0.975,D
-0.6632,-0.1369,-0.7012,-0.5194,-0.151,D
-0.6296,-0.6894,-0.0797,-0.5818,-0.5947,U
0.807,-0.2875,-0.703,-0.5231,-0.4999,D
0.0829,-0.1466,-0.0712,-0.9586,-0.3893,D
-0.8939,-0.7502,-0.097,-0.2814,-0.6665,D
0.9642,-0.4205,-0.3437,-0.9492,-0.6699,D
0.9129,0.7712,0.5658,0.0937,0.8783,U
-0.731,-0.262,-0.846,-0.1615,-0.2493,D
0.9796,0.9794,0.1378,0.235,0.6072,U
-0.5838,-0.4969,-0.2955,-0.034,-0.0901,D
-0.5426,-0.4392,-0.664,-0.7414,-0.3564,D
0.6927,0.4145,0.6661,0.6891,0.6053,U
0.0491,0.0326,0.6126,0.921,0.1339,U
0.3603,0.0141,0.7739,0.0246,0.014,U
0.2207,0.8227,0.5273,0.5607,0.5466,U
0.6624,0.0468,0.6669,0.5188,0.4205,U
-0.623,-0.7842,-0.6419,-0.7755,-0.4945,D
0.9574,0.9234,0.0329,0.3314,0.1907,U
-0.37,-0.6738,-0.0691,-0.2601,-0.8454,D
-0.0346,0.0951,0.136,0.917,0.1151,U
-0.9232,-0.9995,0.3373,0.9192,0.8802,U
-0.9446,0.0276,0.6368,0.2213,0.7894,U
0.4368,0.3383,0.1979,0.9727,0.1255,U
0.3987,0.287,0.3515,0.4492,0.8365,D
0.7448,0.1111,0.4293,0.0437,0.9598,U
